"asin","locale","seller_name","availability","price","proudct_name","product_link"
"078669324X",CA,thrasio,true,"16.87",You Can Teach Yourself Dobro,https://www.amazon.com/dp/078669324X?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
"0999768409",US,perch,true,"15.95",Li'l-Gen Dinosaurs Sound Book: Clever Creatures and Boundless Beasts - A Land of Dinosaurs (12 Button Sound),https://www.amazon.com/dp/0999768409?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
"1562222430",CA,thrasio,true,"14.99",Easy Solos for Beginning Cello Level 1,https://www.amazon.com/dp/1562222430?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
"1562222430",US,thrasio,true,"14.99","Easy Solos for Beginning Cello, Level 1",https://www.amazon.com/dp/1562222430?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
"1883035031",US,clear-pool,true,"65",Growing Kids God's Way: Reaching the Heart of Your Child With a God-Centered Purpose,https://www.amazon.com/dp/1883035031?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
"1947575112",US,publisher-expansion,true,"24.99","Arteza 9X12” Kids Watercolor Pad, 2 Pack 60 Sheets (135lb/200gsm), Glue Bound Watercolor Paper, 30 Sheets, Durable Acid Free Watercolor Paper, Art Supplies for Watercolor Techniques and Mixed Media",https://www.amazon.com/dp/1947575112?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
"3802406397",CA,thrasio,true,"2.59","Alto Saxophone Basics, English Edition Book/CD Set",https://www.amazon.com/dp/3802406397?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000505IZ,US,razor-group,true,"11.99","Swing-A-Way Portable Can Opener, White, 7"" -",https://www.amazon.com/dp/B0000505IZ?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000505J0,US,razor-group,true,"13.22","Swing-A-Way Comfort Grip Can Opener, Black",https://www.amazon.com/dp/B0000505J0?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B00007IT2M,US,razor-group,true,"34.95","Cuisinart Mini PREP Food Processor Custom, 2.63 Cup, Silver",https://www.amazon.com/dp/B00007IT2M?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B00008WU9F,US,razor-group,true,"14.99","Bodum Brazil French Press Coffee and Tea Maker, 12 oz, Black",https://www.amazon.com/dp/B00008WU9F?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B00008XEWG,US,razor-group,true,"22.14","Bodum 1928-16US4 Chambord French Press Coffee Maker, 1 Liter, 34 Ounce, Chrome",https://www.amazon.com/dp/B00008XEWG?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B00009V2LU,US,razor-group,true,"12",Razor A Kick Scooter - Red,https://www.amazon.com/dp/B00009V2LU?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1K,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 26",https://www.amazon.com/dp/B0000ACM1K?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1N,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 30",https://www.amazon.com/dp/B0000ACM1N?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1N,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 30",https://www.amazon.com/dp/B0000ACM1N?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1S,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 34",https://www.amazon.com/dp/B0000ACM1S?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1S,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 34",https://www.amazon.com/dp/B0000ACM1S?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1U,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 36",https://www.amazon.com/dp/B0000ACM1U?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000ACM1U,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Taupe, 36",https://www.amazon.com/dp/B0000ACM1U?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000CF7JZ,US,razor-group,true,"64.55","Oneida Satin Sand Dune Flatware, 45 Piece, Multi",https://www.amazon.com/dp/B0000CF7JZ?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000DE9B5,CA,thrasio,true,"25.99","Bormioli Rocco Frigoverre Jug with Hermetic Lid, 2-Liters",https://www.amazon.com/dp/B0000DE9B5?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000DE9B5,US,thrasio,true,"25.99","Bormioli Rocco Frigoverre Jug with Hermetic Lid, 68 oz, 2 Liter, DD- By Size",https://www.amazon.com/dp/B0000DE9B5?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000TQJGA,CA,thrasio,false,"59.99","Table Mate XL TV Tray Extra Large Folding Table Adjustable to 6 Heights and 4 Angles for Eating, Laptop and Multipurpose Use (White)",https://www.amazon.com/dp/B0000TQJGA?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0000TQJGA,US,thrasio,false,"59.99","Table Mate XL TV Tray Extra Large Folding Table Adjustable to 6 Heights and 4 Angles for Eating, Laptop and Multipurpose Use (White)",https://www.amazon.com/dp/B0000TQJGA?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B00012D0R2,US,razor-group,true,"29.99","Bodum Chambord French Press Coffee Maker, 17 Ounce, .5 Liter, Chrome",https://www.amazon.com/dp/B00012D0R2?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001BMYHA,CA,thrasio,true,"9.99","BORMIOLI ROCCO 418330F27321990 Fido Square Jar, 67.75 oz, Clear",https://www.amazon.com/dp/B0001BMYHA?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001BMYHA,US,thrasio,true,"9.99","Bormioli Rocco Fido Glass Canning Jar Italian 67Â¾ oz-2 Liter, 67.75 oz, Clear",https://www.amazon.com/dp/B0001BMYHA?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3I3A,US,thrasio,true,"44.96","TuffRider Women's Ribb Knee Patch Breeches (Regular), Chocolate, 24",https://www.amazon.com/dp/B0001F3I3A?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3I44,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Chocolate, 26",https://www.amazon.com/dp/B0001F3I44?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3I4Y,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Chocolate, 28",https://www.amazon.com/dp/B0001F3I4Y?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3I4Y,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Chocolate, 28",https://www.amazon.com/dp/B0001F3I4Y?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3I5I,CA,thrasio,false,"59.99","TuffRider Women's Ribb Knee Patch Breeches (Regular), Chocolate, 30",https://www.amazon.com/dp/B0001F3I5I?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3I5I,US,thrasio,false,"59.99","TuffRider Women's Ribb Knee Patch Breeches (Regular), Chocolate, 30",https://www.amazon.com/dp/B0001F3I5I?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3I6C,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Chocolate, 32",https://www.amazon.com/dp/B0001F3I6C?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3I6C,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Chocolate, 32",https://www.amazon.com/dp/B0001F3I6C?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3I6W,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Chocolate, 34",https://www.amazon.com/dp/B0001F3I6W?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3I6W,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Chocolate, 34",https://www.amazon.com/dp/B0001F3I6W?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3I7G,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Chocolate, 36",https://www.amazon.com/dp/B0001F3I7G?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3IBW,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Navy, 26",https://www.amazon.com/dp/B0001F3IBW?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3IBW,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Navy, 26",https://www.amazon.com/dp/B0001F3IBW?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3IDK,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Navy, 30",https://www.amazon.com/dp/B0001F3IDK?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3IDK,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Navy, 30",https://www.amazon.com/dp/B0001F3IDK?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3IDU,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Navy, 32",https://www.amazon.com/dp/B0001F3IDU?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3IDU,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Navy, 32",https://www.amazon.com/dp/B0001F3IDU?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3IEE,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Navy, 34",https://www.amazon.com/dp/B0001F3IEE?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3IEE,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Navy, 34",https://www.amazon.com/dp/B0001F3IEE?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3IEY,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Navy, 36",https://www.amazon.com/dp/B0001F3IEY?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3IEY,US,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Navy, 36",https://www.amazon.com/dp/B0001F3IEY?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
B0001F3IM6,CA,thrasio,true,"34.97","TuffRider Women's Ribb Knee Patch Breeches (Regular), Black, 26",https://www.amazon.com/dp/B0001F3IM6?tag=hallocostu201-20&linkCode=ogi&th=1&psc=1
